phecode	phenotype	sex	category	icd9_ukb_num	icd9_ukb	icd10_ukb_num	icd10_ukb
315.2	Speech and language disorder	Both	mental disorders	NA	NA	5	F80.0, F80.1, F80.2, F80.3, F80.9
315.3	Mental retardation	Both	mental disorders	NA	NA	10	F70.0, F70.1, F70.8, F70.9, F71.1, F71.9, F72.9, F78.9, F79.0, F79.9
316	Substance addiction and disorders		mental disorders	7	292.2, 304.0, 304.6, 304.9, 305.4, 305.8, 305.9	41	F10, F11.0, F11.1, F11.2, F11.3, F11.4, F11.5, F11.7, F11.9, F12.0, F12.1, F12.2, F12.5, F12.8, F12.9, F13.0, F13.1, F13.2, F13.3, F13.4, F14.0, F14.1, F14.2, F14.5, F14.9, F15.0, F15.1, F15.2, F15.3, F15.5, F15.8, F15.9, F16.1, F16.2, F16.3, F16.5, F16.8, F16.9, F55, T40.1, T40.3
316.1	Polyneuropathy due to drugs	Both	mental disorders	NA	NA	1	G62.0
317	Alcohol-related disorders		mental disorders	11	291.8, 303.9, 305.0, 357.5, 535.3, 571.0, 571.1, 571.2, 571.3, 980.0, E860.0	8	F10.0, F10.1, F10.2, F10.5, F10.8, F10.9, R78.0, T51.0
317.1	Alcoholism	Both	mental disorders	7	305.0, 357.5, 535.3, 571.0, 571.1, 571.2, 571.3	6	F10.3, F10.6, F10.7, G62.1, K29.2, Z72.1
317.11	Alcoholic liver damage	Both	mental disorders	4	571.0, 571.1, 571.2, 571.3	5	K70.0, K70.1, K70.2, K70.3, K70.9
318	Tobacco use disorder	Both	mental disorders	1	305.1	7	F17.0, F17.1, F17.2, F17.3, F17.4, F17.9, Z72.0
320	Meningitis		neurological	8	036.0, 047.9, 049.0, 072.1, 320.2, 320.7, 322.0, 322.9	23	A39.0, A87.0, A87.2, A87.8, A87.9, B00.3, B01.0, B02.1, B45.1, G00.0, G00.1, G00.2, G00.3, G00.8, G00.9, G01, G02.0, G02.1, G03.0, G03.1, G03.2, G03.9, G04.2
323	Encephalitis		neurological	6	054.3, 139.0, 323.2, 323.4, 323.6, 323.9	19	A83.9, A84.1, A84.9, A85.0, A85.8, A86, A89, B00.4, B01.1, B02.0, B58.2, B94.1, G04.0, G04.8, G04.9, G05.0, G05.1, G05.2, G05.8
323.2	Acute (transverse) myelitis	Both	neurological	NA	NA	1	G37.3
323.8	Encephalitis, non-infectious	Both	neurological	1	323.9	2	G04.8, G37.4
324	Other CNS infection and poliomyelitis		neurological	2	045.9, 324.0	12	A80.3, A80.9, A81.2, A81.8, A81.9, B91, G06.0, G06.1, G06.2, G07, G09, I67.3
324.1	Jakob-Creutzfeldt disease	Both	neurological	NA	NA	2	A81.0, F02.1
325	Phlebitis and thrombophlebitis of intracranial venous sinuses		neurological	NA	NA	1	G08
327	Sleep disorders	Both	neurological	1	780.5	4	F51.1, F51.9, G47.8, G47.9
327.1	Hypersomnia	Both	neurological	NA	NA	1	F51.1
327.3	Sleep apnea	Both	neurological	NA	NA	1	G47.3
327.4	Insomnia	Both	neurological	NA	NA	2	F51.0, F51.5
327.41	Organic or persistent insomnia	Both	neurological	NA	NA	1	G47.0
327.5	Parasomnia	Both	neurological	NA	NA	2	F51.3, F51.4
327.6	Circadian rhythm sleep disorder	Both	neurological	NA	NA	2	F51.2, G47.2
331	Other cerebral degenerations		neurological	2	331.4, 331.8	7	E75.0, E75.2, E75.4, G13.8, G31.2, G31.8, G93.7
331.1	Hydrocephalus	Both	neurological	1	331.4	9	G91.0, G91.1, G91.2, G91.3, G91.8, G91.9, G94.0, G94.1, G94.2
331.9	Cerebral degeneration, unspecified	Both	neurological	NA	NA	2	G31.0, G31.9
332	Parkinson's disease		neurological	1	332.0	1	G20
333	Extrapyramidal disease and abnormal movement disorders	Both	neurological	7	333.0, 333.1, 333.5, 333.6, 333.79, 333.8, 333.9	2	G25.8, G25.9
333.1	Essential tremor	Both	neurological	1	333.1	3	G25.0, G25.1, G25.2
333.2	Myoclonus	Both	neurological	NA	NA	1	G25.3
333.3	Tics and choreas	Both	neurological	1	333.5	4	F02.2, G10, G25.4, G25.5
333.4	Torsion dystonia	Both	neurological	3	333.6, 333.79, 333.8	9	G24.0, G24.1, G24.2, G24.3, G24.4, G24.5, G24.8, G24.9, G80.3
333.8	Other degenerative diseases of the basal ganglia	Both	neurological	1	333.0	5	G23.0, G23.1, G23.2, G23.8, G23.9
334	Degenerative disease of the spinal cord		neurological	8	334.1, 334.2, 334.3, 334.4, 335.2, 336.0, 336.3, 336.9	7	G32.0, G95.0, G95.1, G95.2, G95.8, G95.9, G99.2
334.1	Spinocerebellar disease	Both	neurological	4	334.1, 334.2, 334.3, 334.4	7	G11.0, G11.1, G11.2, G11.3, G11.4, G11.8, G11.9
334.2	Anterior horn cell disease	Both	neurological	1	335.2	5	G12.0, G12.1, G12.2, G12.8, G12.9
335	Multiple sclerosis		neurological	NA	NA	1	G35
337	Disorders of the autonomic nervous system		neurological	3	337.0, 337.1, 337.9	4	G90.2, G90.3, G90.8, G90.9
337.1	Peripheral autonomic neuropathy	Both	neurological	2	337.0, 337.1	1	G90.0
338.1	Acute pain	Both	neurological	NA	NA	2	R52.0, R52.9
338.2	Chronic pain	Both	neurological	NA	NA	1	R52.2
339	Other headache syndromes		neurological	NA	NA	5	G44.1, G44.3, G44.4, G44.8, R51
340	Migraine		neurological	5	346.0, 346.1, 346.2, 346.8, 346.9	5	G43.0, G43.2, G43.8, G43.9, G44.0
340.1	Migrain with aura	Both	neurological	1	346.0	2	G43.1, G43.3
341	Other demyelinating diseases of central nervous system		neurological	2	341.8, 341.9	8	G36.0, G36.8, G36.9, G37.0, G37.1, G37.2, G37.8, G37.9
342	Hemiplegia		neurological	3	342.0, 342.1, 342.9	3	G81.0, G81.1, G81.9
343	Infantile cerebral palsy		neurological	4	343.0, 343.1, 343.4, 343.9	5	G80.0, G80.1, G80.2, G80.8, G80.9
344	Other paralytic syndromes		neurological	7	344.0, 344.1, 344.4, 344.6, 344.8, 344.9, 781.4	13	G82.0, G82.1, G82.2, G82.3, G82.4, G82.5, G83.0, G83.1, G83.2, G83.3, G83.4, G83.8, G83.9
345	Epilepsy, recurrent seizures, convulsions		neurological	12	345.0, 345.1, 345.10, 345.2, 345.3, 345.4, 345.5, 345.50, 345.7, 345.9, 780.3, 780.39	3	G40, G40.9, G41.8
345.1	Epilepsy	Both	neurological	9	345.0, 345.1, 345.10, 345.2, 345.3, 345.4, 345.5, 345.50, 345.7	5	G40.1, G40.8, G41.0, G41.1, G41.9
345.11	Generalized convulsive epilepsy	Both	neurological	2	345.1, 345.10	2	G40.3, G40.4
345.12	Partial epilepsy	Both	neurological	3	345.4, 345.5, 345.50	2	G40.0, G40.2
345.3	Convulsions	Both	neurological	2	780.3, 780.39	7	G40.4, G40.5, G40.6, G40.7, G41.2, R56.0, R56.8
346	Abnormal findings on study of brain and/or nervous system		neurological	NA	NA	1	R94.1
346.1	Nonspecific abnormal findings on radiological and other examination of skull and head	Both	neurological	1	793.0	1	R93.0
346.2	Nonspecific abnormal results of function study of brain and central nervous system	Both	neurological	NA	NA	1	R94.0
346.3	Nonspecific abnormal findings in cerebrospinal fluid	Both	neurological	NA	NA	6	R83.0, R83.4, R83.6, R83.7, R83.8, R83.9
347	Cataplexy and narcolepsy		neurological	NA	NA	1	G47.4
348	Other conditions of brain	Both	neurological	5	348.0, 348.1, 348.2, 348.3, 348.4	1	G93.1
348.2	Cerebral edema and compression of brain	Both	neurological	2	348.2, 348.4	3	G93.2, G93.5, G93.6
348.4	Cerebral cysts	Both	neurological	1	348.0	1	G93.0
348.7	Coma	Both	neurological	NA	NA	2	E03.5, R40.2
348.8	Encephalopathy, not elsewhere classified	Both	neurological	1	348.3	2	B22.0, G93.4
348.9	Other conditions of brain, NOS	Both	neurological	2	348.8, 348.9	2	G93.8, G93.9
349	Other and unspecified disorders of the nervous system		neurological	3	332.1, 349.8, 349.9	14	G21.1, G21.2, G21.3, G21.8, G21.9, G32.8, G92, G96.0, G96.1, G96.8, G96.9, G97.8, G98, G99.8
350	Abnormal movement	Both	neurological	4	781.0, 781.2, 781.3, 781.7	NA	NA
350.1	Abnormal involuntary movements	Both	neurological	2	781.0, 781.7	6	R25.0, R25.1, R25.2, R25.3, R25.8, R29.0
350.2	Abnormality of gait	Both	neurological	1	781.2	3	R26.0, R26.1, R26.8
350.3	Lack of coordination	Both	neurological	1	781.3	2	R27.0, R27.8
350.5	Abnormal reflex	Both	neurological	NA	NA	1	R29.2
350.6	Disturbances of sensation of smell and taste	Both	neurological	1	781.1	3	R43.0, R43.1, R43.2
351	Other peripheral nerve disorders		neurological	13	354.0, 354.1, 354.2, 354.3, 354.8, 354.9, 355.0, 355.1, 355.3, 355.5, 355.6, 355.8, 355.9	20	G56.0, G56.1, G56.2, G56.3, G56.4, G56.8, G56.9, G57.0, G57.1, G57.2, G57.3, G57.4, G57.5, G57.6, G57.8, G57.9, G58.0, G58.8, G58.9, S54.8
352	Disorders of other cranial nerves		neurological	9	350.1, 350.2, 350.8, 350.9, 351.0, 351.1, 351.8, 351.9, 352.3	7	G52.0, G52.1, G52.2, G52.3, G52.7, G52.8, G52.9
352.1	Trigeminal nerve disorders [CN5]	Both	neurological	4	350.1, 350.2, 350.8, 350.9	4	G50.0, G50.1, G50.8, G50.9
352.2	Facial nerve disorders [CN7]	Both	neurological	4	351.0, 351.1, 351.8, 351.9	7	G51.0, G51.1, G51.2, G51.3, G51.4, G51.8, G51.9
353	Nerve root and plexus disorders		neurological	3	353.0, 353.3, 353.5	7	G54.6, G54.7, G54.8, G54.9, G55.0, G55.2, G55.3
353.1	Nerve plexus lesions	Both	neurological	2	353.0, 353.5	3	G54.0, G54.1, G54.5
353.2	Nerve root lesions	Both	neurological	1	353.3	3	G54.2, G54.3, G54.4
355	Complex regional/central pain syndrome	Both	neurological	NA	NA	1	G58.7
356	Hereditary and idiopathic peripheral neuropathy		neurological	5	356.1, 356.2, 356.4, 356.8, 356.9	5	G60.0, G60.2, G60.3, G60.8, G60.9
357	Inflammatory and toxic neuropathy		neurological	1	357.0	11	G13.0, G13.1, G61.0, G61.1, G61.8, G61.9, G62.2, G62.8, G62.9, G63.8, G64
358	Myoneural disorders		neurological	1	358.0	4	G70.2, G70.8, G70.9, G73.1
358.1	Myasthenia gravis		neurological	1	358.0	1	G70.0
359	Muscular dystrophies and other myopathies		neurological	4	359.1, 359.3, 359.4, 359.9	NA	NA
359.1	Muscular dystrophies	Both	neurological	2	359.1, 359.3	4	G71.0, G71.1, G71.2, G72.3
359.2	Myopathy	Both	neurological	2	359.4, 359.9	15	G71.3, G71.8, G71.9, G72.0, G72.1, G72.2, G72.4, G72.8, G72.9, G73.5, G73.6, G73.7, M60.9, M62.9, S56.0
360	Disorders of the globe		sense organs	NA	NA	5	H19.2, H44.3, H44.5, H44.8, H44.9
360.2	Progressive myopia	Both	sense organs	NA	NA	1	H44.2
360.3	Hypotony of eye	Both	sense organs	NA	NA	1	H44.4
361	Retinal detachments and defects		sense organs	3	361.0, 361.8, 361.9	4	H33.2, H33.3, H33.4, H33.5
361.1	Retinal detachment with retinal defect	Both	sense organs	1	361.0	1	H33.0
361.2	Retinoschisis and retinal cysts	Both	sense organs	NA	NA	1	H33.1
362	Other retinal disorders		sense organs	8	362.1, 362.2, 362.3, 362.5, 362.6, 362.7, 362.8, 362.9	2	H35.8, H35.9
362.1	Retinopathy of prematurity	Both	sense organs	NA	NA	1	H35.1
362.2	Degeneration of macula and posterior pole of retina		sense organs	1	362.5	NA	NA
362.29	Macular degeneration (senile) of retina NOS	Both	sense organs	NA	NA	1	H35.3
362.3	Other nondiabetic retinopathy	Both	sense organs	1	362.2	1	H35.2
362.31	Separation of retinal layers	Both	sense organs	NA	NA	1	H35.7
362.4	Retinal vascular changes and abnomalities	Both	sense organs	2	362.1, 362.3	7	G45.3, H34.0, H34.1, H34.2, H34.8, H34.9, H35.0
362.6	Peripheral retinal degenerations	Both	sense organs	1	362.6	1	H35.4
362.7	Hereditary retinal dystrophies	Both	sense organs	1	362.7	1	H35.5
362.8	Retinal hemorrhage/ischemia	Both	sense organs	NA	NA	1	H35.6
363	Chorioretinal inflammations, scars, and other disorders of choroid		sense organs	1	363.8	6	H31.3, H31.4, H31.8, H31.9, H32.0, H32.8
363.3	Chorioretinal scars	Both	sense organs	NA	NA	1	H31.0
363.4	Choroidal degenerations	Both	sense organs	NA	NA	2	H31.1, H31.2
364	Corneal opacity and other disorders of cornea	Both	sense organs	6	371.2, 371.4, 371.5, 371.6, 371.9, V42.5	5	H18.0, H18.3, H18.7, H18.8, H18.9
364.1	Corneal opacity	Both	sense organs	NA	NA	3	H17.1, H17.8, H17.9
364.2	Corneal edema	Both	sense organs	1	371.2	2	H18.1, H18.2
364.4	Corneal degenerations	Both	sense organs	2	371.4, 371.6	1	H18.4
364.41	Keratoconus	Both	sense organs	1	371.6	1	H18.6
364.5	Corneal dystrophy	Both	sense organs	1	371.5	1	H18.5
364.9	Cornea replaced by transplant	Both	sense organs	1	V42.5	1	Z94.7
365	Glaucoma		sense organs	6	365.0, 365.1, 365.2, 365.5, 365.6, 365.9	9	H40.0, H40.3, H40.4, H40.5, H40.6, H40.8, H40.9, H42.0, H42.8
365.1	Open-angle glaucoma	Both	sense organs	1	365.1	NA	NA
365.11	Primary open angle glaucoma	Both	sense organs	NA	NA	1	H40.1
365.2	Primary angle-closure glaucoma	Both	sense organs	1	365.2	1	H40.2
366	Cataract	Both	sense organs	6	366.2, 366.4, 366.5, 366.8, 366.9, V43.1	9	H26.2, H26.3, H26.4, H26.8, H26.9, H28.0, H28.1, H28.2, Z96.1
366.1	Nonsenile Cataract	Both	sense organs	NA	NA	1	H26.0
366.2	Senile cataract	Both	sense organs	NA	NA	5	H25.0, H25.1, H25.2, H25.8, H25.9
366.3	Traumatic cataract	Both	sense organs	1	366.2	1	H26.1
367	Disorders of refraction and accommodation; blindness and low vision		sense organs	5	367.1, 369.0, 369.6, 369.7, 369.9	3	H52.6, H52.7, Z97.3
367.1	Myopia	Both	sense organs	1	367.1	1	H52.1
367.2	Astigmatism	Both	sense organs	NA	NA	1	H52.2
367.4	Presbyopia	Both	sense organs	NA	NA	1	H52.4
367.8	Hypermetropia	Both	sense organs	NA	NA	1	H52.0
367.9	Blindness and low vision	Both	sense organs	4	369.0, 369.6, 369.7, 369.9	8	H54.0, H54.1, H54.2, H54.3, H54.4, H54.5, H54.6, H54.7
368	Visual disturbances		sense organs	5	368.0, 368.1, 368.2, 368.8, 368.9	3	H53.6, H53.8, H53.9
368.1	Amblyopia	Both	sense organs	1	368.0	1	H53.0
368.2	Diplopia and disorders of binocular vision	Both	sense organs	1	368.2	2	H53.2, H53.3
368.3	Anisometropia	Both	sense organs	NA	NA	1	H52.3
368.4	Visual field defects	Both	sense organs	1	368.4	1	H53.4
368.5	Color vision deficiencies	Both	sense organs	NA	NA	1	H53.5
368.7	Disorders of accommodation	Both	sense organs	NA	NA	1	H52.5
368.9	Subjective visual disturbances	Both	sense organs	1	368.1	2	H53.1, R44.1
369	Infection of the eye		sense organs	6	053.2, 054.4, 372.2, 372.3, 373.5, 376.0	8	A71.1, A71.9, B94.0, H03.0, H03.1, H04.3, H05.0, H44.1
369.2	Eye infection, viral	Both	sense organs	2	053.2, 054.4	6	B00.5, B02.3, B30.0, B30.1, B30.8, B30.9
369.5	Conjunctivitis, infectious	Both	sense organs	2	372.2, 372.3	7	H10.0, H10.1, H10.2, H10.3, H10.5, H10.8, H10.9
370	Keratitis	Both	sense organs	6	370.0, 370.2, 370.3, 370.4, 370.8, 370.9	6	H16.1, H16.3, H16.4, H16.8, H16.9, H19.3
370.1	Corneal ulcer	Both	sense organs	1	370.0	1	H16.0
370.2	Superficial keratitis	Both	sense organs	1	370.2	NA	NA
370.3	Keratoconjunctivitis	Both	sense organs	2	370.3, 370.4	1	H16.2
371	Inflammation of the eye		sense organs	14	360.0, 363.0, 363.2, 364.0, 364.1, 364.2, 364.3, 372.1, 373.0, 373.1, 373.2, 373.3, 373.8, 373.9	3	H13.8, H30.0, H44.0
371.1	Uveitis, noninfectious or NOS	Both	sense organs	5	363.2, 364.0, 364.1, 364.2, 364.3	12	H20.0, H20.1, H20.2, H20.8, H20.9, H21.5, H22.1, H22.8, H30.1, H30.2, H30.8, H30.9
371.2	Conjunctivitis, noninfectious	Both	sense organs	1	372.1	1	H10.4
371.3	Inflammation of eyelids	Both	sense organs	6	373.0, 373.1, 373.2, 373.3, 373.8, 373.9	5	H00.0, H00.1, H01.0, H01.8, H01.9
371.33	Noninfectious dermatoses of eyelid	Both	sense organs	1	373.3	1	H01.1
371.9	Chronic inflammatory disorders of orbit	Both	sense organs	NA	NA	1	H05.1
372	Disorders of conjunctiva		sense organs	4	372.4, 372.5, 372.7, 372.9	8	H11.0, H11.1, H11.2, H11.3, H11.4, H11.8, H11.9, H13.8
374	Other disorders of eyelids		sense organs	7	374.0, 374.1, 374.3, 374.4, 374.5, 374.8, 374.9	6	H02.5, H02.6, H02.7, H02.8, H02.9, H03.8
374.1	Ectropion or entropion	Both	sense organs	2	374.0, 374.1	2	H02.0, H02.1
374.2	Lagophthalmos	Both	sense organs	NA	NA	1	H02.2
374.3	Ptosis of eyelid	Both	sense organs	1	374.3	2	H02.3, H02.4
375	Disorders of lacrimal system		sense organs	6	375.1, 375.2, 375.3, 375.4, 375.5, 375.9	8	H04.0, H04.1, H04.3, H04.4, H04.5, H04.6, H04.8, H04.9
375.2	Epiphora	Both	sense organs	1	375.2	1	H04.2
376	Disorders of the orbit		sense organs	2	376.5, 376.8	4	H05.3, H05.4, H05.8, H05.9
377	Disorders of optic nerve and visual pathways		sense organs	3	377.0, 377.3, 377.5	6	H47.1, H47.3, H47.4, H47.5, H47.6, H47.7
377.1	Optic atrophy	Both	sense organs	NA	NA	1	H47.2
377.3	Optic neuritis/neuropathy		sense organs	1	377.3	2	H46, H47.0
378	Strabismus and other disorders of binocular eye movements		sense organs	6	378.0, 378.1, 378.4, 378.5, 378.8, 378.9	7	H49.4, H50.8, H51.0, H51.1, H51.2, H51.8, H51.9
378.1	Strabismus (not specified as paralytic)	Both	sense organs	3	378.0, 378.1, 378.4	8	H50.0, H50.1, H50.2, H50.3, H50.4, H50.5, H50.6, H50.9
378.2	Nystagmus and other irregular eye movements	Both	sense organs	NA	NA	1	H55
378.5	Paralytic strabismus	Both	sense organs	1	378.5	6	H49.0, H49.1, H49.2, H49.3, H49.8, H49.9
379	Other disorders of eye	Both	sense organs	9	364.4, 364.5, 364.9, 379.0, 379.2, 379.3, 379.4, 379.8, 379.9	5	H15.8, H15.9, H19.2, H57.8, H57.9
379.1	Scleritis and episcleritis	Both	sense organs	1	379.0	2	H15.0, H15.1
379.2	Disorders of vitreous body	Both	sense organs	1	379.2	7	H43.0, H43.1, H43.2, H43.3, H43.8, H43.9, H45.0
379.3	Aphakia and other disorders of lens	Both	sense organs	1	379.3	6	H25.8, H27.0, H27.1, H27.8, H27.9, H28.8
379.4	Anomalies of pupillary function	Both	sense organs	1	379.4	1	H57.0
379.5	Disorders of iris and ciliary body	Both	sense organs	3	364.4, 364.5, 364.9	10	H21.0, H21.1, H21.2, H21.3, H21.4, H21.5, H21.8, H21.9, H22.1, H22.8
379.9	Pain, swelling or discharge of eye	Both	sense organs	NA	NA	1	H57.1
380	Disorders of external ear	Both	sense organs	3	380.0, 380.3, 380.8	6	H61.0, H61.1, H61.3, H61.8, H61.9, H62.8
380.1	Otitis externa	Both	sense organs	2	380.1, 380.2	11	H60.0, H60.1, H60.2, H60.3, H60.5, H60.8, H60.9, H62.0, H62.1, H62.4, H62.8
380.4	Impacted cerumen	Both	sense organs	1	380.4	1	H61.2
381	Otitis media and Eustachian tube disorders		sense organs	16	381.0, 381.1, 381.2, 381.3, 381.4, 381.6, 381.9, 382.1, 382.2, 382.3, 382.9, 383.1, 383.3, 383.8, 383.9, 388.6	NA	NA
381.1	Otitis media	Both	sense organs	9	381.0, 381.1, 381.2, 381.3, 381.4, 382.1, 382.2, 382.3, 382.9	8	H65.0, H65.1, H65.2, H65.3, H65.4, H65.9, H67.1, H67.8
381.11	Suppurative and unspecified otitis media	Both	sense organs	4	382.1, 382.2, 382.3, 382.9	6	H66.0, H66.1, H66.2, H66.3, H66.4, H66.9
381.2	Eustachian tube disorders	Both	sense organs	2	381.6, 381.9	5	H68.0, H68.1, H69.0, H69.8, H69.9
381.3	Mastoiditis & related conditions	Both	sense organs	4	383.1, 383.3, 383.8, 383.9	8	H70.0, H70.1, H70.2, H70.8, H70.9, H75.0, H75.8, H95.1
381.9	Otorrhea	Both	sense organs	1	388.6	2	H92.1, H92.2
382	Otalgia	Both	sense organs	1	388.7	1	H92.0
383	Otosclerosis		sense organs	2	387.2, 387.9	5	H80.0, H80.1, H80.2, H80.8, H80.9
384	Other disorders of tympanic membrane		sense organs	2	384.2, 384.8	2	H73.8, H73.9
384.1	Myringitis	Both	sense organs	NA	NA	2	H73.0, H73.1
384.4	Perforation of tympanic membrane	Both	sense organs	1	384.2	5	H72.0, H72.1, H72.2, H72.8, H72.9
385	Other disorders of middle ear and mastoid		sense organs	5	385.0, 385.1, 385.2, 385.3, 385.8	2	H74.8, H74.9
385.3	Cholesteatoma	Both	sense organs	1	385.3	4	H60.4, H71, H74.4, H95.0
385.5	Tympanosclerosis and middle ear disease related to otitis media	Both	sense organs	3	385.0, 385.1, 385.2	5	H74.0, H74.1, H74.2, H74.3, H95.8
386	Vertiginous syndromes and other disorders of vestibular system		sense organs	4	386.0, 386.1, 386.3, 386.9	2	H81.9, H83.9
386.1	Meniere's disease		sense organs	1	386.0	1	H81.0
386.2	Peripheral or central vertigo		sense organs	1	386.1	4	A88.1, H81.1, H81.2, H81.3
386.21	Central origin vertigo	Both	sense organs	NA	NA	1	H81.4
386.3	Labyrinthitis	Both	sense organs	1	386.3	3	H83.0, H83.1, H83.2
386.9	Dizziness and giddiness (Light-headedness and vertigo)	Both	sense organs	1	780.4	1	R42
388	Other disorders of ear		sense organs	2	388.8, 388.9	5	H93.8, H93.9, H94.8, H95.8, H95.9
389	Hearing loss		sense organs	6	388.3, 389.0, 389.1, 389.2, 389.7, 389.9	10	H90.6, H90.7, H90.8, H91.0, H91.2, H91.3, H91.8, H91.9, Z46.1, Z97.4
389.1	Sensorineural hearing loss	Both	sense organs	1	389.1	3	H90.3, H90.4, H90.5
389.2	Conductive hearing loss	Both	sense organs	1	389.0	3	H90.0, H90.1, H90.2
389.3	Degenerative and vascular disorders of ear	Both	sense organs	NA	NA	3	H83.3, H91.1, H93.0
389.4	Tinnitus	Both	sense organs	1	388.3	1	H93.1
389.5	Disorders of acoustic nerve	Both	sense organs	NA	NA	3	H93.2, H93.3, H94.0
394	Rheumatic disease of the heart valves		circulatory system	7	394.0, 394.2, 394.9, 395.1, 395.9, 396.9, 398.9	8	I06.8, I06.9, I08.0, I08.3, I08.8, I08.9, I09.1, I09.8
394.2	Mitral valve disease	Both	circulatory system	3	394.0, 394.2, 394.9	8	I05.0, I05.1, I05.2, I05.8, I05.9, I08.1, I34.0, I34.1
394.3	Aortic valve disease	Both	circulatory system	1	395.1	8	I06.0, I06.1, I06.2, I08.2, I35.1, I35.2, I35.8, I35.9
394.4	Acute rheumatic heart disease	Both	circulatory system	1	398.9	3	I01.9, I02.0, I09.9
394.7	Disease of tricuspid valve	Both	circulatory system	NA	NA	7	I07.0, I07.1, I07.2, I07.8, I07.9, I08.1, I08.2
395	Heart valve disorders	Both	circulatory system	5	424.0, 424.1, 424.3, V42.2, V43.3	NA	NA
395.1	Nonrheumatic mitral valve disorders	Both	circulatory system	1	424.0	6	I08.1, I34.0, I34.1, I34.2, I34.8, I34.9
395.2	Nonrheumatic aortic valve disorders	Both	circulatory system	1	424.1	2	I08.2, I35.9
395.3	Nonrheumatic tricuspid valve disorders	Both	circulatory system	NA	NA	4	I36.0, I36.1, I36.8, I36.9
395.4	Nonrheumatic pulmonary valve disorders	Both	circulatory system	1	424.3	4	I37.0, I37.1, I37.2, I37.9
395.6	Heart valve replaced	Both	circulatory system	2	V42.2, V43.3	3	Z95.2, Z95.3, Z95.4
396	Abnormal heart sounds	Both	circulatory system	1	785.2	3	R01.0, R01.1, R01.2
401	Hypertension		circulatory system	4	401.0, 401.1, 401.9, 403.9	NA	NA
401.1	Essential hypertension	Both	circulatory system	2	401.1, 401.9	1	I10
401.2	Hypertensive heart and/or renal disease	Both	circulatory system	1	403.9	4	I13.0, I13.1, I13.2, I13.9
401.21	Hypertensive heart disease	Both	circulatory system	NA	NA	2	I11.0, I11.9
401.22	Hypertensive chronic kidney disease	Both	circulatory system	1	403.9	2	I12.0, I12.9
401.3	Other hypertensive complications	Both	circulatory system	1	401.0	6	I15.0, I15.1, I15.2, I15.8, I15.9, I67.4
402	Elevated blood pressure reading without diagnosis of hypertension	Both	circulatory system	NA	NA	1	R03.0
411	Ischemic Heart Disease		circulatory system	6	410.9, 413.9, 414.0, 414.1, 414.8, 414.9	NA	NA
411.1	Unstable angina (intermediate coronary syndrome)	Both	circulatory system	NA	NA	1	I20.0
411.2	Myocardial infarction	Both	circulatory system	1	410.9	20	I21.0, I21.1, I21.2, I21.3, I21.4, I21.9, I22.0, I22.1, I22.8, I22.9, I23.0, I23.1, I23.2, I23.3, I23.6, I23.8, I24.1, I25.2, I51.0, I51.3
411.3	Angina pectoris	Both	circulatory system	1	413.9	3	I20.1, I20.8, I20.9
411.4	Coronary atherosclerosis	Both	circulatory system	2	414.0, 414.1	4	I24.0, I25.1, Z95.1, Z95.5
411.41	Aneurysm and dissection of heart	Both	circulatory system	1	414.1	3	I25.3, I25.4, I34.1
411.8	Other chronic ischemic heart disease, unspecified	Both	circulatory system	2	414.8, 414.9	4	I25.5, I25.6, I25.8, I25.9
411.9	Other acute and subacute forms of ischemic heart disease	Both	circulatory system	NA	NA	2	I24.8, I24.9
414	Other forms of chronic heart disease	Both	circulatory system	3	429.2, 429.8, 429.9	7	I23.5, I46.1, I51.1, I51.2, I51.5, I51.8, I51.9
414.2	ASCVD	Both	circulatory system	1	429.2	NA	NA
415	Pulmonary heart disease		circulatory system	4	415.1, 416.0, 417.8, 417.9	5	I26.9, I28.0, I28.1, I28.8, I28.9
415.1	Acute pulmonary heart disease	Both	circulatory system	1	415.1	NA	NA
415.11	Pulmonary embolism and infarction, acute	Both	circulatory system	1	415.1	1	I26.0
415.2	Chronic pulmonary heart disease	Both	circulatory system	1	416.0	3	I27.1, I27.8, I27.9
415.21	Primary pulmonary hypertension	Both	circulatory system	1	416.0	1	I27.0
416	Cardiomegaly	Both	circulatory system	1	429.3	1	I51.7
418	Nonspecific chest pain	Both	circulatory system	1	786.5	2	R07.3, R07.4
418.1	Precordial pain	Both	circulatory system	NA	NA	1	R07.2
420	Carditis		circulatory system	8	391.0, 420.9, 421.0, 421.9, 422.9, 423.9, 424.9, 429.0	1	B33.2
420.1	Myocarditis	Both	circulatory system	2	422.9, 429.0	8	I09.0, I40.0, I40.1, I40.8, I40.9, I41.2, I41.8, I51.4
420.2	Pericarditis	Both	circulatory system	3	391.0, 420.9, 423.9	5	I31.3, I31.9, I32.0, I32.1, I32.8
420.21	Acute pericarditis	Both	circulatory system	2	391.0, 420.9	5	I01.0, I30.0, I30.1, I30.8, I30.9
420.22	Chronic pericarditis	Both	circulatory system	NA	NA	4	I31.0, I31.1, I31.2, I31.8
420.3	Endocarditis	Both	circulatory system	3	421.0, 421.9, 424.9	6	I01.1, I08.8, I08.9, I33.0, I33.9, I38
425	Cardiomyopathy		circulatory system	2	425.1, 425.4	1	I42.7
425.1	Primary/intrinsic cardiomyopathies	Both	circulatory system	2	425.1, 425.4	5	I42.0, I42.4, I42.5, I42.8, I42.9
